hand,player_0_stack,player_0_profit,player_0_cumulative_profit,player_0_name,player_1_stack,player_1_profit,player_1_cumulative_profit,player_1_name,player_2_stack,player_2_profit,player_2_cumulative_profit,player_2_name,player_3_stack,player_3_profit,player_3_cumulative_profit,player_3_name,player_4_stack,player_4_profit,player_4_cumulative_profit,player_4_name,player_5_stack,player_5_profit,player_5_cumulative_profit,player_5_name
1,200.0,0.0,0.0,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),200.0,0.0,0.0,Agent 2 (iter 1000),200.0,0.0,0.0,Agent 3 (iter 1500),200.0,0.0,0.0,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
2,230.5,30.5,30.5,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,-28.5,-28.5,Agent 2 (iter 1000),198.0,-2.0,-2.0,Agent 3 (iter 1500),200.0,0.0,0.0,Agent 4 (iter 4000),200.0,-0.0,0.0,Agent 5 (iter 2300)
3,230.5,0.0,30.5,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),198.0,0.0,-2.0,Agent 3 (iter 1500),200.0,0.0,0.0,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
4,230.5,0.0,30.5,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),198.0,0.0,-2.0,Agent 3 (iter 1500),200.0,0.0,0.0,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
5,237.0,6.5,37.0,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),198.0,0.0,-2.0,Agent 3 (iter 1500),193.5,-6.5,-6.5,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
6,237.0,0.0,37.0,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),198.0,0.0,-2.0,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
7,240.5,3.5,40.5,Agent 0 (iter 100),200.0,0.0,0.0,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),194.5,-3.5,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
8,252.0,11.5,52.0,Agent 0 (iter 100),188.5,-11.5,-11.5,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),194.5,0.0,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),200.0,0.0,0.0,Agent 5 (iter 2300)
9,286.125,34.125,86.125,Agent 0 (iter 100),156.375,-32.125,-43.625,Agent 1 (iter 500),171.5,0.0,-28.5,Agent 2 (iter 1000),194.5,0.0,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),198.0,-2.0,-2.0,Agent 5 (iter 2300)
10,300.125,14.0,100.125,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,-14.0,-42.5,Agent 2 (iter 1000),194.5,-0.0,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),198.0,0.0,-2.0,Agent 5 (iter 2300)
11,301.125,1.0,101.125,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,0.0,-42.5,Agent 2 (iter 1000),194.5,0.0,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),197.0,-1.0,-3.0,Agent 5 (iter 2300)
12,301.125,0.0,101.125,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,0.0,-42.5,Agent 2 (iter 1000),194.5,0.0,-5.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),197.0,0.0,-3.0,Agent 5 (iter 2300)
13,303.125,2.0,103.125,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,0.0,-42.5,Agent 2 (iter 1000),192.5,-2.0,-7.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),197.0,-0.0,-3.0,Agent 5 (iter 2300)
14,307.625,4.5,107.625,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,0.0,-42.5,Agent 2 (iter 1000),192.5,0.0,-7.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),192.5,-4.5,-7.5,Agent 5 (iter 2300)
15,307.625,-0.0,107.625,Agent 0 (iter 100),156.375,0.0,-43.625,Agent 1 (iter 500),157.5,0.0,-42.5,Agent 2 (iter 1000),192.5,0.0,-7.5,Agent 3 (iter 1500),193.5,0.0,-6.5,Agent 4 (iter 4000),192.5,-0.0,-7.5,Agent 5 (iter 2300)
16,290.625,-17.0,90.625,Agent 0 (iter 100),103.625,-52.75,-96.375,Agent 1 (iter 500),104.75,-52.75,-95.25,Agent 2 (iter 1000),192.5,-0.0,-7.5,Agent 3 (iter 1500),333.0,139.5,133.0,Agent 4 (iter 4000),175.5,-17.0,-24.5,Agent 5 (iter 2300)
17,291.625,1.0,91.625,Agent 0 (iter 100),103.625,0.0,-96.375,Agent 1 (iter 500),104.75,0.0,-95.25,Agent 2 (iter 1000),192.5,0.0,-7.5,Agent 3 (iter 1500),333.0,0.0,133.0,Agent 4 (iter 4000),174.5,-1.0,-25.5,Agent 5 (iter 2300)
18,300.125,8.5,100.125,Agent 0 (iter 100),95.125,-8.5,-104.875,Agent 1 (iter 500),104.75,0.0,-95.25,Agent 2 (iter 1000),192.5,-0.0,-7.5,Agent 3 (iter 1500),333.0,0.0,133.0,Agent 4 (iter 4000),174.5,0.0,-25.5,Agent 5 (iter 2300)
19,300.125,0.0,100.125,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),104.75,0.0,-95.25,Agent 2 (iter 1000),192.5,0.0,-7.5,Agent 3 (iter 1500),333.0,0.0,133.0,Agent 4 (iter 4000),174.5,0.0,-25.5,Agent 5 (iter 2300)
20,235.125,-65.0,35.125,Agent 0 (iter 100),95.125,-0.0,-104.875,Agent 1 (iter 500),103.75,-1.0,-96.25,Agent 2 (iter 1000),127.5,-65.0,-72.5,Agent 3 (iter 1500),464.0,131.0,264.0,Agent 4 (iter 4000),174.5,-0.0,-25.5,Agent 5 (iter 2300)
21,238.625,3.5,38.625,Agent 0 (iter 100),95.125,-0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),171.0,-3.5,-29.0,Agent 5 (iter 2300)
22,238.625,0.0,38.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),171.0,0.0,-29.0,Agent 5 (iter 2300)
23,238.625,0.0,38.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),171.0,0.0,-29.0,Agent 5 (iter 2300)
24,238.625,0.0,38.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),171.0,0.0,-29.0,Agent 5 (iter 2300)
25,247.625,9.0,47.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),162.0,-9.0,-38.0,Agent 5 (iter 2300)
26,254.625,7.0,54.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),155.0,-7.0,-45.0,Agent 5 (iter 2300)
27,254.625,-0.0,54.625,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),155.0,0.0,-45.0,Agent 5 (iter 2300)
28,290.625,36.0,90.625,Agent 0 (iter 100),95.125,-0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),119.0,-36.0,-81.0,Agent 5 (iter 2300)
29,290.625,0.0,90.625,Agent 0 (iter 100),95.125,-0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),119.0,0.0,-81.0,Agent 5 (iter 2300)
30,304.125,13.5,104.125,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,-0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),105.5,-13.5,-94.5,Agent 5 (iter 2300)
31,304.125,0.0,104.125,Agent 0 (iter 100),95.125,0.0,-104.875,Agent 1 (iter 500),103.75,0.0,-96.25,Agent 2 (iter 1000),127.5,0.0,-72.5,Agent 3 (iter 1500),464.0,0.0,264.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
32,304.125,-0.0,104.125,Agent 0 (iter 100),85.125,-10.0,-114.875,Agent 1 (iter 500),93.75,-10.0,-106.25,Agent 2 (iter 1000),125.5,-2.0,-74.5,Agent 3 (iter 1500),486.0,22.0,286.0,Agent 4 (iter 4000),105.5,-0.0,-94.5,Agent 5 (iter 2300)
33,310.875,6.75,110.875,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),87.0,-6.75,-113.0,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
34,310.875,-0.0,110.875,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),87.0,0.0,-113.0,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
35,310.875,0.0,110.875,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),87.0,0.0,-113.0,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
36,310.875,0.0,110.875,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),87.0,0.0,-113.0,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
37,310.875,0.0,110.875,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),87.0,0.0,-113.0,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
38,316.375,5.5,116.375,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),81.5,-5.5,-118.5,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),486.0,0.0,286.0,Agent 4 (iter 4000),105.5,-0.0,-94.5,Agent 5 (iter 2300)
39,318.375,2.0,118.375,Agent 0 (iter 100),85.125,0.0,-114.875,Agent 1 (iter 500),81.5,0.0,-118.5,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),484.0,-2.0,284.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
40,336.375,18.0,136.375,Agent 0 (iter 100),85.125,-0.0,-114.875,Agent 1 (iter 500),81.5,0.0,-118.5,Agent 2 (iter 1000),125.5,0.0,-74.5,Agent 3 (iter 1500),466.0,-18.0,266.0,Agent 4 (iter 4000),105.5,0.0,-94.5,Agent 5 (iter 2300)
